"_id","Fiscal_Year","Budget_Type","Organization_Entity","Command_Name","Pillar_Name","District_Name","Unit_Name","Feature_Category","Cost_Element","Cost_Element_Long_Name","Amount"
761,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4086","TECH SERV -TRANSLATIONS & INTERPRETERS",500
762,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4144","INVESTIGATIVE EXPENSE",200
763,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4230","BUSINESS TRAV - OTHER EXPENSES",800
764,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4255","CONFERENCES/SEMINARS - OTHER EXPENSES",1600
765,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4312","COURSES/SEMINARS",2100
766,"2021","Approved Budget","1 - Toronto Police Service","Corporate Support Command","Corporate Support Command","Corporate Support Command","Corporate Support Command","Services","4084","PUBLIC RELATIONS/PROMOTIONS",200
767,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4441","CONTRACTED SERVICES - CABLE TV",1500
768,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4516","REPAIRS - TECHNICAL EQUIPMENT",200
769,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4760","MEMBERSHIP FEES",100
770,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4770","PARKING EXPENSES (INTOWN)",200
771,"2021","Approved Budget","1 - Toronto Police Service","Communities & Neighbourhoods Command","West Field Command","District-D11,D22","Division 22","Services","4804","WIRELESS DEVICES",1000
